rent,bedrooms,bathrooms,size_sqft,min_to_subway,no_fee,has_washer_dryer,has_elevator,neighborhood,borough,id
4875,1,1,900,1,1,1,1,East Village,Manhattan,42
3700,1,1,947,5,1,1,1,Upper East Side,Manhattan,47
5595,2,2,1170,4,1,1,1,Financial District,Manhattan,87
2499,0,1,400,2,1,1,1,Upper West Side,Manhattan,99
6650,2,2,1143,6,1,1,1,Upper West Side,Manhattan,103
4575,0,1,853,3,1,1,1,Tribeca,Manhattan,132
4950,1,1,812,4,1,1,1,Upper West Side,Manhattan,161
3500,0,1,525,5,1,1,1,Midtown South,Manhattan,193
4950,1,1,927,3,1,1,1,Financial District,Manhattan,208
3560,1,1,698,6,1,1,1,Upper West Side,Manhattan,305
6495,3,2,1195,3,1,1,1,Midtown,Manhattan,319
4506,2,1,1134,2,1,1,1,Upper West Side,Manhattan,369
4610,1,1,602,3,1,1,1,Chelsea,Manhattan,388
3395,1,1,620,9,1,1,1,Midtown East,Manhattan,420
3920,1,1,718,4,1,1,1,Chelsea,Manhattan,430
3950,1,1,737,1,1,1,1,Midtown West,Manhattan,456
14500,4,5,2700,8,1,1,1,Upper East Side,Manhattan,475
5600,1,1,909,1,1,1,1,Tribeca,Manhattan,479
18450,2,2,830,2,1,1,1,Upper East Side,Manhattan,481
6650,2,2,1171,3,1,1,1,Midtown East,Manhattan,500
1800,1,1,670,4,1,1,1,East Harlem,Manhattan,518
4950,2,1,900,5,1,1,1,Upper West Side,Manhattan,536
4500,2,1,900,3,1,1,1,Lower East Side,Manhattan,544
3375,1,1,658,6,1,1,1,Midtown West,Manhattan,550
3800,1,1,800,5,1,1,1,Upper West Side,Manhattan,582
4275,1,1,735,4,1,1,1,Upper West Side,Manhattan,592
3500,1,1,678,5,1,1,1,Upper East Side,Manhattan,607
5300,2,2,1050,7,1,1,1,Upper East Side,Manhattan,620
5250,2,2,1191,8,1,1,1,Upper East Side,Manhattan,714
4950,1,2,981,9,1,1,1,Midtown West,Manhattan,724
2900,0,1,525,3,1,1,1,Upper East Side,Manhattan,742
7000,3,2,1394,10,1,1,1,Upper East Side,Manhattan,757
6465,2,2,1168,5,1,1,1,Upper West Side,Manhattan,792
4150,1,1,640,3,1,1,1,Upper East Side,Manhattan,893
3875,1,1,653,4,1,1,1,Upper West Side,Manhattan,899
4846,2,1,805,9,1,1,1,Gramercy Park,Manhattan,905
2300,1,1,611,9,1,1,1,East Harlem,Manhattan,908
12000,3,2,1982,4,1,1,1,Upper West Side,Manhattan,912
6800,1,2,1233,3,1,1,1,Tribeca,Manhattan,916
3498,0,1,464,2,1,1,1,Flatiron,Manhattan,943
3285,1,1,586,2,1,1,1,Upper West Side,Manhattan,989
3325,1,1,628,6,1,1,1,Midtown West,Manhattan,1003
